yearSeason,slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationxoriginal,locationY,locationYoriginal,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221217,MIL,UTA,22200442,377,3,4,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,36,0,TRUE,TRUE
2020,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221217,MIL,UTA,22200442,382,3,3,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,59,0,TRUE,TRUE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221219,NOP,MIL,22200457,65,1,7,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,2,0,TRUE,TRUE
2020,2022-23,1610612749,1628960,Shot Chart Detail,Grayson Allen,Milwaukee Bucks,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,20221221,CLE,MIL,22200466,18,1,11,Restricted Area,Center,C,Less Than 8 ft.,-16,16,0,0,18,1,TRUE,FALSE
2020,2022-23,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221221,CLE,MIL,22200466,222,2,8,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,22,0,TRUE,TRUE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221221,CLE,MIL,22200466,576,4,7,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,37,0,TRUE,TRUE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20221223,BKN,MIL,22200483,59,1,6,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,31,0,TRUE,FALSE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221223,BKN,MIL,22200483,258,2,4,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,42,0,TRUE,TRUE
2020,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20221223,BKN,MIL,22200483,296,2,2,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,25,0,TRUE,TRUE
2020,2022-23,1610612749,204060,Shot Chart Detail,Joe Ingles,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20221223,BKN,MIL,22200483,439,3,4,Left Corner 3,Left Side,L,24+ ft.,232,-232,0,0,50,23,TRUE,FALSE
